gender,education_level,home_ownership_status,loan_intent,previous_loan_defaults_on_file,loan_status,age_bin,income_binned,work_experience_binned,loan_income_ratio_bin,cr_hist_bin
female,Master,RENT,PERSONAL,No,1,young_adults,middle,entry_level,high,2-5
female,High School,OWN,EDUCATION,Yes,0,young_adults,low,entry_level,low,2-5
female,High School,MORTGAGE,MEDICAL,No,1,young_adults,low,entry_level,medium,2-5
female,Bachelor,RENT,MEDICAL,No,1,young_adults,middle,entry_level,medium,2-5
male,Master,RENT,MEDICAL,No,1,young_adults,middle,entry_level,high,2-5
female,High School,OWN,VENTURE,No,1,young_adults,low,entry_level,low,2-5
female,Bachelor,RENT,EDUCATION,No,1,young_adults,middle,entry_level,medium,2-5
female,High School,RENT,MEDICAL,No,1,young_adults,middle,early_career,medium,2-5
female,Associate,RENT,PERSONAL,No,1,young_adults,middle,entry_level,medium,2-5
female,High School,OWN,VENTURE,No,1,young_adults,low,entry_level,low,2-5
female,High School,RENT,VENTURE,No,1,young_adults,middle,entry_level,medium,2-5
female,Associate,OWN,HOMEIMPROVEMENT,No,1,young_adults,low,entry_level,medium,2-5
male,Bachelor,RENT,VENTURE,No,1,young_adults,middle,entry_level,medium,2-5
male,Master,RENT,EDUCATION,No,1,young_adults,upper-middle,entry_level,medium,2-5
female,Associate,RENT,EDUCATION,No,0,young_adults,upper-middle,entry_level,low,2-5
female,Master,MORTGAGE,DEBTCONSOLIDATION,Yes,0,young_adults,high,early_career,low,2-5
male,Bachelor,RENT,EDUCATION,No,0,young_adults,upper-middle,entry_level,low,2-5
female,High School,RENT,MEDICAL,No,1,young_adults,middle,entry_level,medium,2-5
male,Bachelor,RENT,DEBTCONSOLIDATION,No,1,young_adults,upper-middle,entry_level,medium,2-5
female,Master,MORTGAGE,EDUCATION,No,1,young_adults,low,entry_level,low,2-5
male,Bachelor,RENT,VENTURE,Yes,0,young_adults,high,entry_level,low,2-5
male,High School,RENT,PERSONAL,No,0,young_adults,upper-middle,early_career,low,2-5
female,Master,RENT,EDUCATION,No,1,young_adults,middle,entry_level,medium,2-5
female,Bachelor,OWN,PERSONAL,Yes,0,young_adults,low,entry_level,low,2-5
male,Bachelor,RENT,PERSONAL,No,1,young_adults,middle,entry_level,medium,2-5
female,High School,RENT,HOMEIMPROVEMENT,No,1,young_adults,middle,entry_level,medium,2-5
female,Associate,MORTGAGE,VENTURE,No,1,young_adults,low,entry_level,medium,2-5
male,High School,OWN,PERSONAL,No,0,young_adults,low,entry_level,low,2-5
female,Bachelor,RENT,HOMEIMPROVEMENT,No,1,young_adults,middle,entry_level,medium,2-5
female,Bachelor,OTHER,EDUCATION,No,1,young_adults,low,entry_level,medium,2-5
male,High School,OWN,MEDICAL,No,1,young_adults,low,entry_level,low,2-5
male,Bachelor,RENT,VENTURE,Yes,0,young_adults,upper-middle,entry_level,low,2-5
male,Bachelor,RENT,HOMEIMPROVEMENT,No,1,young_adults,middle,entry_level,medium,2-5
female,High School,RENT,DEBTCONSOLIDATION,Yes,0,young_adults,high,entry_level,low,2-5
female,Associate,MORTGAGE,MEDICAL,No,0,young_adults,high,entry_level,low,2-5
male,Associate,OWN,EDUCATION,No,1,young_adults,low,entry_level,low,2-5
female,Bachelor,RENT,EDUCATION,No,1,young_adults,lower-middle,entry_level,high,2-5
male,High School,RENT,DEBTCONSOLIDATION,No,1,young_adults,middle,entry_level,medium,2-5
male,Bachelor,RENT,HOMEIMPROVEMENT,No,1,young_adults,middle,early_career,medium,2-5
female,High School,RENT,DEBTCONSOLIDATION,No,1,young_adults,middle,entry_level,medium,2-5
male,Bachelor,RENT,MEDICAL,No,1,young_adults,middle,early_career,medium,2-5
female,High School,OWN,VENTURE,No,1,young_adults,low,entry_level,low,2-5
male,Bachelor,MORTGAGE,VENTURE,Yes,0,young_adults,high,early_career,low,2-5
male,High School,OWN,EDUCATION,Yes,0,young_adults,high,entry_level,low,2-5
male,Master,OWN,HOMEIMPROVEMENT,No,0,young_adults,high,early_career,low,2-5
male,Bachelor,MORTGAGE,EDUCATION,Yes,0,young_adults,high,early_career,low,2-5
female,Bachelor,MORTGAGE,HOMEIMPROVEMENT,No,0,young_adults,high,entry_level,low,2-5
male,Bachelor,RENT,PERSONAL,No,1,young_adults,middle,entry_level,medium,2-5
female,High School,RENT,MEDICAL,No,1,young_adults,middle,entry_level,medium,2-5
